215;12670;5623;retrieved
216;16699;16697;settings
217;9893;9891;settings
218;16780;16781;kpoints
219;20663;398;structure
220;3738;3739;kpoints
221;381;10866;retrieved
222;381;10865;output_kpoints
223;381;10860;output_parameters
224;381;15808;remote_folder
225;10666;10667;kpoints
226;7651;7648;kpoints
227;12424;1361;structure
228;150;8811;structure
229;781;780;parameters
230;10367;22260;structure
231;15184;17941;retrieved
232;15184;17940;output_parameters
233;15184;13787;remote_folder
234;18554;18552;kpoints
235;20924;20927;parameters
236;19214;19209;parameters
237;92;8955;parameters
238;4904;20923;parent_calc_folder
239;4904;3945;parent_calc_folder
240;12270;9516;parent_calc_folder
241;17540;14882;parameters
242;3354;3348;settings
243;10297;8412;qpoints
244;19852;1528;structure
245;19892;2089;parameters
246;2586;16090;remote_folder
247;2586;12435;retrieved
248;2586;12441;output_kpoints
249;2586;12440;output_parameters
250;12058;18437;remote_folder
251;12058;21131;output_kpoints
252;12058;21130;retrieved
253;12058;12620;output_parameters
254;11426;8601;settings
255;15074;5632;remote_folder
256;15074;11016;retrieved
257;15074;11015;output_parameters
258;15259;19266;output_parameters
259;15259;4521;retrieved
260;15259;18090;remote_folder
261;23162;23165;parameters
262;6359;6361;settings
263;10563;10559;settings
264;15246;15248;settings
265;5975;5972;settings
266;2593;2586;settings
267;14723;5952;settings
268;1444;8469;kpoints
269;7460;16055;qpoints
270;22335;6626;qpoints
271;1236;1234;parameters
272;21897;1009;output_parameters
273;21897;14697;remote_folder
274;21897;1012;retrieved
275;480;482;settings
276;3199;17440;retrieved
277;3199;20006;remote_folder
278;3199;17439;output_parameters
279;2513;2518;parameters
280;22151;22149;settings
281;149;18358;qpoints
282;23264;13812;qpoints
283;8326;5418;retrieved
284;8326;5416;output_parameters
285;8326;5417;output_kpoints
286;8326;6999;remote_folder
287;20729;20727;settings
288;915;3289;structure
289;18537;2981;structure
290;18537;1654;structure
291;2790;19080;structure
292;6044;5367;remote_folder
293;6044;1284;retrieved
294;6044;1283;output_parameters
295;10620;10623;parameters
296;12663;22809;structure
297;17233;12588;retrieved
298;17233;8777;remote_folder
299;17233;12578;output_parameters
300;17233;12579;output_kpoints
301;12698;15940;structure
302;19030;13188;qpoints
303;6411;5588;qpoints
304;13441;13439;settings
305;4375;19853;kpoints
306;13070;13072;parameters
307;11811;8044;parent_calc_folder
308;22129;22131;settings
